"Dragon Word","Word Type","Canon Level",Definition,Notes
Nahgah,noun,Semi-Canon,"Psychic, Diviner, Channeller, Charmer","Based on Nahgahdinok (""necromancer""), which may be a combination of Nah (Fury) Gah (Yield) and Dinok (Death) or ""Nahgah"" and ""Dinok"". Either way, ""Fury Yield"" could come to mean ""diviner"" or ""charmer"" (""mancer"")."
Nahgahdinok,noun,Canon,Necromancer,
Nahgahzii,noun,Semi-Canon,Oracle,"Related to ""Nahgahdinok"", ""Necromancer""."
Nahgriinos,noun,Non-Canon,Labyrinth,
Nahin,noun,Non-Canon,Paint,"Related to ""Fahin"", color. For the verb, see ""Verilir"". Edited from ""Naain."""
Nahjor,noun,Semi-Canon,"Maniac, someone who is mad","From ""Nah"", ""fury"", and ""Jor"", ""person""."
Nahkei,adjective,Semi-Canon,Furious,"""Nah"" with the suffix ""-kei"". Edited from ""Zonah""."
Nahkip,verb,Canon,Feed,
Nahkiv,verb,Non-Canon,Discover,
Nahkivaar,noun,Non-Canon,Discovery,"From ""Nahkiv"", ""discover""."
Nahkorah,noun,Non-Canon,Secunda,"Edited from ""Akorah."""
Nahkrah,noun,Semi-Canon,Vendetta,"From ""Nahkriin"", ""vengeance""."
Nahkriid,noun,Semi-Canon,Avenger,"From ""Nahkriin,"" ""fury killer."""
Nahkriin,noun,Canon,"Vengeance, Revenge, to kill in revenge","Lit. ""fury-slay."" The noun ""vengeance"" and the verb ""to kill in revenge."""
Nahkrop,verb,Semi-Canon,Lurk,"From ""Ahkrop,"" ""to sneak or crawl,"" and ""Nahlot,"" ""silence."""
Nahkropiik,noun,Semi-Canon,Lurker,"""Nahkrop"" with suffix ""-iik""."
Nahkuz,verb,Semi-Canon,"Plunder, Loot, Sack","From ""Nah"" and ""Kuz,"" ""fury-take."" Edited from ""Najul."""
Nahkuziik,adjective,Semi-Canon,"Plunderer, Looter","""Nahkuz"" with the suffix ""-iik"". Edited from ""Najuliik."""
Nahl,adjective,Canon,Living,
Nahlaas,adjective,Canon,"Alive, Live","Refers to ""live"" as in ""living,"" not ""active"" or ""present."""
Nahled,verb,Non-Canon,Stifle,"From the Swedish ""knäled"""
Nahlii,noun,Semi-Canon,"Entity, Being","A compound of ""Nahl"" and ""Rii"", ""Living essence"". Edited from ""Nahlrii."""
Nahliik,adjective,Semi-Canon,Mute,"Based on ""nahlon,"" ""silent."" Can also mean the noun, ""someone who is mute""."
Nahlimaar,noun,Semi-Canon,"Community, Society","A modification of the word ""Nahlii"" based on ""Briinahmaar"", ""Sisterhood"". Edited from ""Nahlriimaar."""
Nahlimaaruv,adjective,Semi-Canon,"Communal, Societal","""Nahlimaar"" with suffix ""-uv""."
Nahlkopraan,noun,Modern,Organism,"Lit. ""living body."""
Nahlok,verb,Semi-Canon,Avenge,"From ""Nahkriin"", ""vengeance"". Edited from ""Nahkroz."""
Nahlon,adjective,Semi-Canon,Silent,"Derived from the verb ""Nahlot"", ""silence""."
Nahlot,verb,Canon,Silence,
Nahlotzaan,noun,Modern,"Silencer, Suppressor","Lit. means ""silence shout""."
Nahmul,noun,Semi-Canon,"Overpower, Overcome","Lit. ""fury-strong."""
Nahpindaar,noun,Semi-Canon,Savanna,"Edited from ""Svenjir."" From ""Pindaar,"" ""plain."""
Nahpok,verb,Semi-Canon,"Sully, Besmirch, Soil, Stain","Edited from ""Vepok."" Related to ""Pook,"" ""stink."""
Nahrz,noun,Non-Canon,Netch,
Nahsek,verb,Non-Canon,Shower,
Nahvenoz,noun,Semi-Canon,Typhoon,"Related to ""Nah"", ""fury"", and ""Ven"", ""wind""."
Nahwan,verb,Non-Canon,Dwell,
Nahyol,noun,Semi-Canon,"War fire, sea fire, wildfire","A compound of ""Nah"" and ""Yol"", ""Fury-Fire""."
Nakooriiz,noun,Non-Canon,"Sulfur, Sulphur",
Nalkun,adverb,Non-Canon,Already,
Nalkunun,noun,Modern,"Déjà Vu","Lit. means ""already"", ""seen""."
Namas,preposition,Non-Canon,Except,
Namok,noun,Non-Canon,Fern,
Naraan,noun,Non-Canon,Adult,"From ""Naram,"" ""to grow."""
Naram,verb,Non-Canon,"Swell, Grow",
Naramaan,adjective,Non-Canon,Swollen,
Naramriin,noun,Non-Canon,Puberty,"From ""Naram"", ""to swell or grow""."
Narand,noun,Non-Canon,"Swelling, Growth",
Nau,preposition,Canon,On,
Nauaas,noun,Non-Canon,Lute,"Pronounced ""Now-aas"". Edited from ""Nowaas""."
Nauvozahkel,adjective,Modern,"Online, on the internet","Lit. ""On"", ""Internet""."
Navik,noun,Non-Canon,Breeches,
Nax,noun,Canon,Cruelty,
Neben,preposition,Non-Canon,"Under, Underneath, Beneath",
Neben-Jin,noun,Non-Canon,Underbrush,"Lit. means ""under"", ""bush/shrub""."
Nebenaraan,noun,Non-Canon,"Juvenile, Teenage, Teenager","From ""Neben"" and ""Naraan,"" ""sub-adult."""
Nebenbex,adjective,Semi-Canon,Outdoor/Outdoors,"compund of 'neben' and 'bex'; lit. “under (the) open”"
Nebenbo,verb,Semi-Canon,Submerge,"From ""Neben"" and ""Bo,"" ""underflow."""
Nebenboveysun,noun,Modern,Submarine,"Lit. means ""submerge"", ""ship""."
Nebendein,noun,Semi-Canon,Dungeon,"Formed from ""Neben"" and ""Dein""."
Nebenfaan,noun,Semi-Canon,"Alias, Nickname","From ""Neben,"" ""under"" and ""Faan,"" ""name"", lit. ""under-name""."
Nebengol,adjective,Semi-Canon,Underground,"A compound of ""Neben"", ""under"", and ""Gol"", ""earth""."
Nebengol-Dinok,noun,Modern,Landmine,"Lit. ""Underground death""."
Nebeniit,noun,Non-Canon,"Trench, Ditch","""Neben"" and ""Niit"", ""under-line""."
Nebenkav,adjective,Semi-Canon,"Indoor/Indoors ","Compound of 'neben' and 'kav'; lit. ""under (the) roof"""
Nebenlom,adjective,Semi-Canon,Underwater,"A compound of ""Neben"", ""under"", and ""Lom"", ""water""."
Nebenriiv,noun,Non-Canon,Underwear,"Lit. ""under-cloth."""
Nebenstrah,noun,Modern,Underpass,"Lit ""above road""."
Nebenvah,verb,Non-Canon,Underestimate,"From ""Neben"". Can also be used as a noun.
"
Nebenviing,verb,Semi-Canon,"Foster, Adopt","Lit. ""under-wing,"" to take beneath one's wing."
Nebenweyt,noun,Non-Canon,"Basement, Cellar","""Neben"" + ""Weyt; under-room."
Ned,verb,Non-Canon,"Deem, Regard, Reckon",
Negol,adjective,Semi-Canon,Nether,"A combination of ""Neben"" and ""Gol""."
Neh,adverb,Canon,Never,
Neilaas,verb,Semi-Canon,Survive,"Derives from ""laas / life"""
Neilaasend,noun,Semi-Canon,Survival,"Neilaas with the suffix -end, the act of surviving."
Neilaasin,noun,Semi-Canon,Survivor,"Based on ""Neilaas"", ""to survive""."
Nekov,noun,Semi-Canon,Cannibal,"Related to ""Naak"", ""to eat""."
Nekovun,noun,Non-Canon,Cannibalism,"From ""Nekov"" with suffix ""-un""."
Nel,adjective,Non-Canon,"Fast, Quick, Speedy, Hasty",
Neldriin,noun,Non-Canon,Antelope,"From ""Nel"" and ""Driin,"" ""swift-deer."""
Nelglimrel,noun,Modern,"Energy Drink","Lit. ""quick-energy."""
Nelom,noun,Non-Canon,"Speed, Fastness, Quickness","""Nel"" with the suffix ""-om""."
Nelpaagol,verb,Non-Canon,Mosey,"Lit. mean 'Quick Walk'. Can also be used as an adjective."
Nelru,verb,Semi-Canon,"Dash, Sprint","Derived from ""Nel"" and ""Ru"", literally ""fast run""."
Neltiid,adjective,Semi-Canon,"Fleet, Rapid, Breakneck","From ""Nel"", ""fast""."
Nelvaas,verb,Non-Canon,"Haste, Hasten","From ""Nel,"" ""fast/hasty."""
Nemiir,noun,Non-Canon,Faculty,
Nenfah,verb,Non-Canon,Mention,"From the Icelandic for ""mention,"" ""nefna."""
Nenvaar,verb,Non-Canon,"Allude, Refer","From ""Nenfah"", ""mention"". "
Nep,verb,Non-Canon,Laugh,
Nepend,noun,Non-Canon,Laughter,"Forming a noun from the verb ""Nep"" with the suffix ""-end""."
Ner,noun,Non-Canon,"Sphere, Orb",
Nesiik,noun,Non-Canon,"Basic, Default","Edited from ""Besak."""
Nev,verb,Non-Canon,"Waste, Decay, Squander",
Nevonaar,noun,Non-Canon,"Wasteland, Desolation","Based on ""Nev"", ""waste"", and ""Nor"", ""land""."
Nevstorn,noun,Non-Canon,"Chamber Pot; Latrine, Toilet, Urinal","From ""nev""; ""waste"", and ""storn"", ""basin"": ""waste-basin."""
Nevul,noun,Non-Canon,"Urine, Pee","Combines 'nev' with 'novul' to make 'waste-liquid'."
Nevul-Kolost,noun,Non-Canon,Bladder,"Lit. means ""urine"", ""hold""."
Ney,adjective,Canon,Both,
Neyliinvas,adjective,Modern,Bisexual,"Translates to ""both sexual"""
Neyrok,noun,Non-Canon,Conspiracy,"Derived from the words Nok and Tey."
Ni,adverb,Canon,Not,
Ni-,prefix,Semi-Canon,Non-,"The prefix form of ""Ni""."
Nibo,adjective,Semi-Canon,"Lazy, Slugish","From ""Bo,"" ""to fly or move,"" describing someone that is not inclined to move. Edited from ""Juuboh."""
Nibor,verb,Non-Canon,Ignore,
Nid,adverb,Canon,"No / None / Nothing",
Nidkomaan,adjective,Semi-Canon,Indecisive,"From ""Nid,"" ""none,"" and ""Komaan,"" ""decide,"" ""without decision."""
Nidrin,noun,Non-Canon,Heathen,
Nidzos,adverb,Semi-Canon,"Nevermore, Anymore","Lit. means ""no-more"". Edited from ""Nidzuk."""
Niforveyk,noun,Non-Canon,Unease,"From ""Forveyk"", ""ease"".
"
Nigein,pronoun,Semi-Canon,"Nobody, Noone, None","A compound of ""Nid"" and ""Gein"". Edited from ""Nimun."""
Nihon,adjective,Semi-Canon,Inaudible,"From ""Hon"" and ""Nis"", lit. ""unable to be heard""."
Nii,pronoun,Canon,It,
Niid,adverb,Canon,No,"Alternate spelling for ""Nid,"" ""no."""
Niidam,noun,Non-Canon,Ballista,
Niif,verb,Non-Canon,Smile,"Also can be used as a noun"
Niil,pronoun,Semi-Canon,Its,"The possessive form of ""Nii"", used as an adjective but listed here as a pronoun for search reasons."
Niin,pronoun,Canon,Them,
Niirah,noun,Non-Canon,"Echo, Resonate","Can also be used as a verb."
Niislah,noun,Non-Canon,"Breast, Teat",
Niislahriiv,noun,Semi-Canon,"Brassiere, Bra","The words ""Niislah"" and ""Riiv"", lit ""breast cloth."""
Niist,pronoun,Semi-Canon,"Their, Theirs","Plural possessive pronoun of ""Nust"". Edited from ""Nustu""."
Niiv,noun,Non-Canon,Ball,
Niivut,verb,Non-Canon,"Chase, Pursue",
Niiz,noun,Non-Canon,"Hail, Hailstorm","The precipitation rather than ""to call or hail"".  From Niiv: ball, Iiz: ice."
Niizmah,noun,Semi-Canon,Hailstorm,"Literal equivalent."
Nik,noun,Non-Canon,Crab,"Edited from ""Mik."""
Nikinz,adjective,Semi-Canon,"Impenetrable, Impermeable","""Kinz"" with ""Nis,"" ""cannot be pierced""."
Nikriin,noun,Canon,Coward,
Nikrinaar,adjective,Semi-Canon,Cowardice,"From ""Nikriin,"" ""coward."""
Nikron,adjective,Semi-Canon,Unconquerable,"From ""Nis"" and ""Kron,"" ""cannot be conquered."""
Nikurahiv,adjective,Non-Canon,Unattainable,"""Kurahiv"" with ""Nis,"" ""cannot be achieved"". "
Nil,noun,Canon,Void,"Possibly noun or adjective."
Nilaad,verb,Non-Canon,Forbid,
Nilaadaan,adjective,Non-Canon,Forbidden,
Nilaan,adjective,Semi-Canon,Unwanted,"""Laan"" with the prefix ""Ni-,"" ""not-wanted."" See also canon ""Volaan,"" ""intruder."""
Niliik,adjective,Semi-Canon,Blank,"From ""Nil"", ""void"". Can be also a noun and a verb."
Niliinvas,adjective,Modern,Asexual,"Translates to ""not sexual"""
Nilokaal,adjective,Semi-Canon,Unlovable,"""Lokaal"" with ""Nis,"" ""cannot be loved."""
Niloniiz,adjective,Non-Canon,Nontoxic,"From ""Loniiz"" with prefix ""Ni-."""
Nilz,verb,Semi-Canon,"Purge, Purify, Purification","From ""Nil"", ""void""."
Nilzaar,adjective,Semi-Canon,Purgatory,"From ""Nilzaar,"" ""to purge."""
Nimaar,pronoun,Canon,Itself,"Corrected a spelling mistake, was formerly ""Niimaar""."
Nimahshik,noun,Non-Canon,"Drool, Spittle","Lit. ""Loose spit"". Also a verb."
Nimiinahsul,adjective,Non-Canon,"Inconsiderable, Unthinkable","From ""Miinahsul"" and ""Nis"", lit. ""cannot be considered""."
Nimos,adjective,Non-Canon,Unlikeable,"From ""Mos"" and ""Nis"", lit. ""unable to be liked""."
Nimqah,noun,Non-Canon,Flail,
Nin,verb,Canon,Sting,
Niney,conjunction,Semi-Canon,Neither,"From ""Ahney,"" ""either,"" and ""Ni,"" ""not-either."" Edited from ""Hjani."""
Ninurah,adjective,Non-Canon,Discontent,"From ""Vinurah,"" ""content."""
Ninviidost,noun,Semi-Canon,"Stinger, poisonous bite, or a poisoned weapon","Lit. ""sting-poison."""
Nipaalus,adjective,Semi-Canon,"Docile, non-threatening","""Paalus"" with prefix ""ni-"", lit. ""not enemy-like""."
Nipiin,adjective,Non-Canon,Undrinkable,"""Piin"" with prefix ""ni-"", lit. ""cannot be drunk""."
Nir,verb,Canon,Hunt,
Niraat,noun,Semi-Canon,Prey,"From ""Nir"" with the suffix ""-aat,"" ""that which is hunted."" Edited from ""Dor."""
Nirkaanon,verb,Non-Canon,Represent,
Nirkaanond,noun,Non-Canon,Representation,"""Nirkaanon"" with the suffix ""-nd""."
Niron,adjective,Non-Canon,Non-Canon,"Edited from ""Voron""."
Niroz,adjective,Non-Canon,Morbid,
Nirvot,verb,Semi-Canon,Stalk,"From ""Nir,"" ""hunt."""
Nirvotiik,noun,Semi-Canon,Stalker,"""Nirvot"" with suffix ""-iik""."
Nis,verb,Canon,Cannot,
Nisaad,adjective,Non-Canon,"Fake, Phony","""Saad"" with the prefix ""Ni-""."
Nisaakrot,adjective,Semi-Canon,Inexorable,"""Aakrot"" with ""Nis"", ""cannot be persuaded."""
Nisahraan,adjective,Semi-Canon,Invulnerable,"Edited from ""Nehahraan."" Means ""cannot be wounded."""
Nisahraanom,noun,Semi-Canon,Invulnerability,"""Nisahraan"" with the suffix ""-om."""
Nisal,adjective,Semi-Canon,Indestructible,"""Nis"" and ""Al,"" ""cannot destroy."""
Nisbo,adjective,Semi-Canon,"Immobile, Immobilized, Immovable","Compound of ""Bo"" and ""Nis"", ""cannot-move""."
Niseim,adjective,Semi-Canon,Unacceptable,"From ""Eim"" with ""Nis,"" ""cannot be accepted."" Edited from ""Voviseim."""
Niseirak,noun,Non-Canon,Inexperience,"Prefix Ni- + seirak"
Nisfranvoth,adjective,Semi-Canon,Inconsolable,"Edited from ""Vofranvothok"". From ""Nis"" and ""Franvoth"", ""cannot be consoled""."
Nisfrolaaz,adjective,Semi-Canon,Unforgivable,"From ""Frolaaz"" and ""Nis"", ""cannot be forgiven""."
Nishind,noun,Semi-Canon,"Despair, Hopeless","From ""Nis"" and ""Hind"", ""cannot hope"". See also ""Ath"" and ""Hindnu""."
Niskemaan,adjective,Non-Canon,Unamused,"Lit. ""not-amused""."
Niskorah,adjective,Semi-Canon,Unbelievable,"Derived from ""Korah"" combined with ""Nis"", ""cannot be believed"". Edited from ""Vokorahtok""."
Niskren,adjective,Semi-Canon,Unbreakable,"""Kren,"" ""to break,"" with ""Nis,"" ""cannot be broken."""
Niskrenok,adjective,Semi-Canon,"Indivisible, Inseparable","Lit. ""cannot divide / be divided"""
Nismaar,noun,Semi-Canon,"Inability, Incapability","From ""Vosmaar,"" ""ability,"" and ""Nis,"" ""cannot."""
Nisnaak,adjective,Semi-Canon,Inedible,"From ""Naak"" and ""Nis"", lit. ""cannot be eaten"". Also the noun ""in-edibility."""
Nispeylaan,adjective,Non-Canon,Inapplicable,"From ""Peylaan"" with ""Nis,"" ""cannot be applied."""
Nisrivun,adjective,Non-Canon,Unreliable,"From ""Rivun"" and ""Nis"", lit. ""cannot be relied on""."
Nisrolur,adjective,Non-Canon,Unagreeable,"From ""Rolur"" and ""Nis"", lit. ""unable to be agreed upon""."
Nistaad,adverb,Semi-Canon,Nowhere,"A compound of ""Nid"" and ""Staad""."
Nistmaar,pronoun,Semi-Canon,Themselves,"The reflexive of ""Nust"". Edited from ""Niistmaar""."
Nivahpruzah,adjective,Semi-Canon,"Illegitimate, Invalid","""Vahpruzah"" with the prefix ""Ni-."""
Nivahriin,adjective,Canon,Cowardly,
Nivahzah,adjective,Semi-Canon,Untrue,"From ""vahzah"" with prefix ""Ni-""."
Nivahzen,noun,Semi-Canon,"Falsehood, Falsity","Lit. a ""not-truth""."
Niveiliin,adjective,Semi-Canon,Agender,"A compound of ""Ni"" and ""Veiliin""."
Niviik,adjective,Semi-Canon,Invincible,"""Viik"" with ""Nis,"" ""cannot be defeated."""
Nivok,adjective,Non-Canon,Poor,
Nivokmun,noun,Semi-Canon,Peasant,"Lit. means  ""Poor"", ""man""."
Nivolos,adjective,Non-Canon,"Indistinguishable, Indiscernible","From ""Volos""."
Nivorn,noun,Non-Canon,Disposition,
Nivos,adjective,Semi-Canon,"Unable, Incapable, Disable, Disallow, Prevent","""Vos"" with the prefix ""Ni-."" The adjective ""unable"" and the verb ""to disable/disallow/prevent."""
Nivosevild,noun,Non-Canon,"Crevice, Clef, Crack","Derived from ""Nivosend"", ""Se"" and ""Vild"", it literally means ""Split of a rock"""
Nivosik,adverb,Non-Canon,Asunder,
Nivudoz,adjective,Non-Canon,"Inevitable, Unavoidable","""Vudoz"" with the prefix ""Ni-""."
Nivurot,verb,Semi-Canon,"Conspire, Plot","Edited from ""Rad."" Means ""un-valor words."""
Nivuth,adjective,Non-Canon,Unstoppable,"From ""Vuth"" and ""Nis"", lit. ""unable to be stopped""."
Nivutiik,noun,Non-Canon,"Chaser, Pursuer","""Niivut"" with suffix ""-iik""."
Nix,preposition,Non-Canon,Between,"Edited from ""Nex""."
Nixlein,adjective,Semi-Canon,"Interplanetary, Interplanar, between worlds","Lit. ""between world."""
Niyusgri,adjective,Non-Canon,"Immodest, Lewd","A combination of the word 'Yusgri' and the prefix 'ni-'."
Nizaag,noun,Non-Canon,"Surroundings, Location, Area","Edited from ""Nexaag""."
Nizah,adjective,Semi-Canon,False,"From ""Vahzah"", ""true"". Edited from ""Hahjok"" and ""Nivzah."""
Nizahmiin,noun,Modern,Camera,"Literally 'false eye'. Edited from ""Nivzahmiin."""
Nizeylum,verb,Non-Canon,"Disapprove, Deplore","From ""Zeylum"", ""approve"" with prefix ""Ni-""."
Nizraad,adjective,Non-Canon,"Important, Significant",
Nizraadom,noun,Non-Canon,"Importance, Significance",
Nok,verb,Canon,"Lie / Lay / Laid","Means ""to lie down,"" ""to lay something down,"" and ""to tell a falsehood."""
Nokhahnu,noun,Semi-Canon,"Hallucinate, Hallucination","""Lying dream"". Both the verb ""to hallucinate"" and the noun ""hallucination""."
Nokiiv,noun,Semi-Canon,Layer,"Based on ""Nok"", ""to lie""."
Nokin,noun,Semi-Canon,Liar,"From ""Nok"", ""to ""lie,"" ""someone who lies."" Not to be confused with ""Praav,"" ""lair."""
Nokorun,noun,Semi-Canon,Cemetery,"""Nok"" with the suffix ""-orun,"" ""place of rest."""
Nokraan,verb,Semi-Canon,Bask,"From ""Nok,"" ""to lie."""
Noksenonviik,noun,Semi-Canon,Politician,"Noksenonvul with the ""-iik"" suffix, modified."
Noksenonvul,noun,Semi-Canon,Politics,"Literally, ""lies of the noble""."
Noksenor,noun,Semi-Canon,"Landscape, Terrain","From ""Nok"" and ""Nor,"" ""lay of the land."""
Nokur,noun,Non-Canon,Saddle,"Edited from ""Nakuur."""
Nol,preposition,Canon,From,
Nomah,noun,Semi-Canon,Uncle,"Related to ""Zeymah"" and ""Bormah."" Edited from ""Okmah."""
Nonaan,pronoun,Semi-Canon,Aught,"Based off of ""Naan"". Means ""anything at all""."
Nonvaal,verb,Semi-Canon,Exalt,"From ""Nonvul,"" ""noble."""
Nonvul,adjective,Canon,Noble,
Nonvulaan,noun,Semi-Canon,Nobility,"From ""Nonvul"", ""noble"". Edited from ""Nonvulom"" to avoid association with ""Vulom""."
Nonvulgolz,noun,Semi-Canon,"Gemstone, Noble stone.","Composed of the words Nonvul and Golz (Stone, countable), it defines the stones that man see as valuable or ""noble""."
Nonvuliik,noun,Semi-Canon,"Nobleman, Noblewoman","""Nonvul"" with the suffix ""-iik""."
Nonvulriiv,noun,Semi-Canon,Regalia,"Lit. ""noble-cloth."""
Noolas,noun,Non-Canon,Ham,
Noor,verb,Non-Canon,Emote,
Noorend,noun,Non-Canon,Emotion,"""Noor"" with the suffix ""-end""."
Noorendaal,adjective,Non-Canon,Emotional,"""Noorend"" with the suffix ""-aal"", ""with or having emotion""."
Noorsiin,noun,Modern,Emoticon,"Lit. ""emote-sign."""
Noot,noun,Non-Canon,Skill,
Nor,noun,Non-Canon,"Land, Province, Country, Nation",
Noraas,verb,Non-Canon,"Blame, Accuse, Charge, Accusation","The verb ""to blame, accuse, or charge"", and the noun ""blame, charge, or accusation"". Lengthened to ""Noraas."""
Noraasik,verb,Non-Canon,Convict,"Dereived from ""Noraas"". Can also be used as a noun."
Norkaal,noun,Semi-Canon,"Nationalist, Patriot","Lit. ""country-champion""."
Norok,adjective,Canon,"Fierce / Fiercest",
Norviing,noun,Semi-Canon,Peninsula,"Lit. ""land-wing."""
Norzaar,noun,Non-Canon,"Ambassador, Envoy, Diplomat","Inspired by ""Nor"", ""land"", and ""Sahr"", ""to connect""."
Nos,verb,Canon,Strike,"Part of the ""Cyclone"" shout in Dragonborn dlc."
Nos-Thulzun,noun,Modern,"Matchlock, Flintlock, Caplock, refers to any early-modern era firearm","Lit. ""strike-gun."" Definition encompasses the matchlock, wheellock, snaplock, flintlock, and caplock firearms."
Noskriin,noun,Semi-Canon,Onslaught,"Lit. ""Strike"", ""slew""."
Nostig,noun,Semi-Canon,Offense,"Lit. ""striking action"". In relation to ""offense and defense"", not ""offended""."
Nostiguv,adjective,Semi-Canon,Offensive,"""Nostig"" with suffix ""-uv""."
Noton,verb,Non-Canon,Nod,"Derived from Middle High German 'notten' (move around/shake)."
Nox,verb,Non-Canon,"Thank, Thanks, Thank You, Gratitude","This is the root for the the expression of ""thank you"". Verb: To thank."
Nu,adverb,Canon,Now,
Nudraan,adjective,Semi-Canon,"Modern, Contemporary","Related to ""Nu"", ""now""."
Nufost,noun,Non-Canon,Quail,
Nuft,noun,Non-Canon,"Purpose, Use","For the verb, see ""Brah""."
Nuk,adjective,Non-Canon,Ready,"Can also be used as a verb, ""to ready""."
Nukaas,noun,Non-Canon,Puppet,
Nuksliin,verb,Semi-Canon,Butcher,"Lit. ""to ready meat""."
Nul,noun,Non-Canon,Zero,
Nulaar,noun,Non-Canon,"Finesse, Tact, Savvy",
Nulaz,noun,Non-Canon,Diagonal,"Related to ""Ulaz"", ""angle""."
Num,adjective,Non-Canon,"Unique, Rare","Edited from ""nun""."
Numtaar,noun,Non-Canon,Tract,
Nun,adjective,Semi-Canon,Seen,"Reverse derived from canon word 'Vonun' meaning 'unseen'."
Nunaakun,noun,Semi-Canon,Revelation,"From ""Nun"", ""seen"". Edited from ""Viimakuun""."
Nunahst,verb,Semi-Canon,Manifest,"From ""Nun"", ""seen"". Edited from ""Viimahst""."
Nunal,adjective,Semi-Canon,Mere,"From ""Nunon,"" ""only."""
Nunon,adverb,Canon,Only,
Nunon,adverb,Semi-Canon,Just,
Nunt,adjective,Semi-Canon,"Bare, Barren, Naked, Nude","Edited from ""Nun"" to avoid conflict with semi-canon ""Nun""."
Nuntiik,noun,Non-Canon,"Nudist, naturist","'Nunt' with the suffix '-iik.' Lit. 'someone who is nude.'"
Nuntom,noun,Non-Canon,"Nudity, Nakedness, Bareness","""Nunt"" with the suffix ""-om"". Edited from ""Nunom""."
Nuntrot,noun,Modern,"Infinitive ","Lit ""Bare"", ""Word"". Can also be used as an adjective."
Nuntun,noun,Non-Canon,"Nudism, naturism","'Nunt' with the suffix '-un'."
Nurvim,verb,Non-Canon,Retire,
Nurzir,noun,Non-Canon,Apathy,
Nus,noun,Canon,Statue,
Nusaan,adjective,Semi-Canon,"Gone, Absent","From ""Saan"", ""to lose"". Edited from ""Saark""."
Nusaanom,noun,Semi-Canon,Absence,"""Nusaan"" with the suffix ""-om"". Edited from ""Saarkom""."
Nust,pronoun,Canon,They,
Nuth,adverb,Non-Canon,"Barely, Scarcely, Hardly",
Nuthaak,noun,Non-Canon,"Bother, Nuisance",
Nutiid,noun,Semi-Canon,"Present, Now","Composed of the words Nu and Tiid, it literally means Now-Time."
Nuv,conjunction,Semi-Canon,Nor,"Based on ""Uv"", ""Or""."
Nuvah,noun,Semi-Canon,"Presence, Present","From ""Nu"", ""now""."
Nuvey,verb,Semi-Canon,Pervade,"Means ""To be present throughout"". Related to ""Nuviis""."
Nuviis,verb,Semi-Canon,Attend,"From the word ""Nuvah"", ""present""."
Nuvistul,adjective,Non-Canon,Destitute,
Nuz,conjunction,Canon,But,
Nuz,adjective,Semi-Canon,Visible,"Reverse-derived from ""Vonuz"", ""invisible""."
Nuzuk,adjective,Non-Canon,Arcane,
Oben,noun,Non-Canon,Expense,
Obenaal,adjective,Non-Canon,Expensive,"""Oben"" with the suffix ""-aal"", something that is ""with or having expense""."
Oblaan,noun,Canon,End,"Also a verb."
Obliis,verb,Semi-Canon,"Abolish, Annul","Edited from ""Iklan"". From ""Oblaan"", ""to end""."
Oblisiik,noun,Non-Canon,Abolisher,"From ""Obliis"" with suffix ""-iik""."
Oblivion,noun,Canon,Oblivion,"Replaces the non-canon ""Uradiin""."
Od,noun,Canon,Snow,
Odfahliil,noun,Semi-Canon,"Snow Elf","Composed of the words Od and Fahliil, it literally means Snow-Elf and refers to the few pre-Falmer elfs that have not degenerated. It also refers to the entire Falmer-race pre-corruption by the Dwemer."
Odhokzii,noun,Semi-Canon,"Kamal, Snow Demon","A denomination that refers to the Kamal-races, that live in Akaviri and were well known to the Dov, who once ruled those Dragonlands."
Odogah,noun,Semi-Canon,Snowberry,"Compound of ""Od"" and ""Ogah"", literal translation."
Odpaagliik,noun,Modern,"Ice Cream","""Od"" and ""Paagliik,"" ""snow-cream."""
Odrahgol,noun,Semi-Canon,Avalanche,"Lit. ""snow-rage."""
Odrin,noun,Semi-Canon,Aspen,"From ""Od,"" ""snow,"" and ""Rindah,"" ""bark."""
Odstrun,noun,Semi-Canon,"Snowstorm ","Literal equivalent."
Odufiik,noun,Semi-Canon,"Frost Troll","Lit. ""snow troll."""
Odus,adjective,Canon,Snowy,
Oduv,adjective,Semi-Canon,Arctic,"Derived from ""Od"", meaning ""of the snow"". Revised from ""Oden."""
Ofaal,verb,Canon,"Receive, Get, Gain, Obtain, Acquire","Expanded definition to include ""get, gain, obtain, acquire."""
Ofaalend,noun,Semi-Canon,"Reception, Acquisition, Obtainment",
Ofaalin,noun,Semi-Canon,Receiver,"""Ofaal"" with the suffix ""-in"". Edited from ""Ofaaliik."""
Ofahnir,noun,Non-Canon,Chord,
Ofalaan,verb,Semi-Canon,"Bequeath, Devolve","Portmanteau of ""Ofan"", ""give"", and ""Laan"", ""want/request""."
Ofan,verb,Canon,"Give, Gift",
Ofan-Rimalureyd,noun,Modern,"Cation, Ion","Lit. ""give-electron."""
Ofanaat,noun,Semi-Canon,"Present, Tribute, Offering","Literally ""that which is given"", ""Ofan"" with the suffix ""-aat""."
Ofaniik,noun,Semi-Canon,Giver,"""Ofan"" with the suffix ""-iik""."
Ofanix,verb,Semi-Canon,Exchange,"Derived from ""Ofan"" and ""Nix"". Literally, ""give-between""."
Ofanjiik,verb,Semi-Canon,Entertain,"Literally, ""give joy""."
Ofir,adjective,Non-Canon,"Busy, Occupied, Engaged",
